m49,iso,country,subregion,region,intermediate_region_name,region_code,subregion_code,intermediate_region_code,ldc,lldc,sids,developed
250,FRA,France,Western Europe,Europe,,150,155,,,,,Developed
276,DEU,Germany,Western Europe,Europe,,150,155,,,,,Developed
438,LIE,Liechtenstein,Western Europe,Europe,,150,155,,,,,Developed
442,LUX,Luxembourg,Western Europe,Europe,,150,155,,,,,Developed
492,MCO,Monaco,Western Europe,Europe,,150,155,,,,,Developed
528,NLD,Netherlands,Western Europe,Europe,,150,155,,,,,Developed
756,CHE,Switzerland,Western Europe,Europe,,150,155,,,,,Developed
36,AUS,Australia,Australia and New Zealand,Oceania,,9,53,,,,,Developed
162,CXR,Christmas Island,Australia and New Zealand,Oceania,,9,53,,,,,Developed
166,CCK,Cocos (Keeling) Islands,Australia and New Zealand,Oceania,,9,53,,,,,Developed
334,HMD,Heard Island and McDonald Islands,Australia and New Zealand,Oceania,,9,53,,,,,Developed
554,NZL,New Zealand,Australia and New Zealand,Oceania,,9,53,,,,,Developed
574,NFK,Norfolk Island,Australia and New Zealand,Oceania,,9,53,,,,,Developed
242,FJI,Fiji,Melanesia,Oceania,,9,54,,,,x,Developing
540,NCL,New Caledonia,Melanesia,Oceania,,9,54,,,,x,Developing
598,PNG,Papua New Guinea,Melanesia,Oceania,,9,54,,,,x,Developing
90,SLB,Solomon Islands,Melanesia,Oceania,,9,54,,x,,x,Developing
548,VUT,Vanuatu,Melanesia,Oceania,,9,54,,x,,x,Developing
316,GUM,Guam,Micronesia,Oceania,,9,57,,,,x,Developing
296,KIR,Kiribati,Micronesia,Oceania,,9,57,,x,,x,Developing
584,MHL,Marshall Islands,Micronesia,Oceania,,9,57,,,,x,Developing
583,FSM,Micronesia (Federated States of),Micronesia,Oceania,,9,57,,,,x,Developing
520,NRU,Nauru,Micronesia,Oceania,,9,57,,,,x,Developing
580,MNP,Northern Mariana Islands,Micronesia,Oceania,,9,57,,,,x,Developing
585,PLW,Palau,Micronesia,Oceania,,9,57,,,,x,Developing
581,UMI,United States Minor Outlying Islands,Micronesia,Oceania,,9,57,,,,,Developing
16,ASM,American Samoa,Polynesia,Oceania,,9,61,,,,x,Developing
184,COK,Cook Islands,Polynesia,Oceania,,9,61,,,,x,Developing
258,PYF,French Polynesia,Polynesia,Oceania,,9,61,,,,x,Developing
570,NIU,Niue,Polynesia,Oceania,,9,61,,,,x,Developing
612,PCN,Pitcairn,Polynesia,Oceania,,9,61,,,,,Developing
882,WSM,Samoa,Polynesia,Oceania,,9,61,,,,x,Developing
